Player Name,Team Name,Total runs,Matches Played,Innings_Batting,Not Outs,Highest Score,Average,Balls Faced,Strike Rate_Batting,0,50,100,4s,6s,Matches,Innings_Bowling,Balls Bowled,Overs, Total Runs Conceded,Wickets,Best Bowling in Innings,Maidens,Bowling Average,Economy Rate,Strike Rate_Bowling,4 wicket,5 wicket
Navdeep Saini,RR,,,,,,,,,,,,,,2,2,36,6,74,3,Mar-40,0,24.66,12.33,12,0,0
Naveen-Ul-Haq,LSG,16,8,3,2,13,16,21,76.19,0,0,0,2,0,8,7,168,28,219,11,Apr-38,0,19.9,7.82,15.27,1,0
Nehal Wadhera,MI,241,14,10,1,64,26.77,166,145.18,1,2,0,23,12,,,,,,,,,,,,,
Nicholas Pooran,LSG,358,15,15,3,62,29.83,207,172.94,2,2,0,26,26,,,,,,,,,,,,,
Nitish Rana,KKR,413,14,14,1,75,31.76,293,140.95,0,3,0,39,20,14,6,53,8.5,75,3,17-Feb,0,25,8.49,17.66,0,0
Noor Ahmad,GT,8,13,3,1,7*,4,9,88.88,1,0,0,1,0,13,13,283,47.1,369,16,Mar-37,0,23.06,7.82,17.68,0,0
Parth Mankad,LSG,93,5,5,2,64*,31,72,129.16,1,1,0,12,2,,,,,,,,,,,,,
Phil Salt,DC,218,9,9,1,87,27.25,133,163.9,2,2,0,24,10,,,,,,,,,,,,,
Piyush Chawla,MI,25,16,4,2,18,12.5,22,113.63,1,0,0,1,1,16,16,366,61,495,22,22-Mar,0,22.5,8.11,16.63,0,0
Prabhsimran Singh,PBKS,358,14,14,0,103,25.57,238,150.42,2,1,1,38,19,,,,,,,,,,,,,
Praveen Dubey,DC,16,1,1,0,16,16,20,80,0,0,0,2,0,1,1,18,3,19,1,19-Jan,0,19,6.33,18,0,0
Prithvi Shaw,DC,106,8,8,0,54,13.25,85,124.7,2,1,0,16,1,,,,,,,,,,,,,
Priyam Garg,DC,22,2,2,0,12,11,23,95.65,0,0,0,1,0,,,,,,,,,,,,,
Q De Kock,LSG,143,4,4,0,70,35.75,102,140.19,0,1,0,10,8,,,,,,,,,,,,,
Rahmanullah Gurbaz,KKR,227,11,11,0,81,20.63,170,133.52,2,2,0,17,15,,,,,,,,,,,,,
Rahul Chahar,PBKS,,,,,,,,,,,,,,14,14,298,49.4,385,8,16-Feb,0,48.12,7.75,37.25,0,0
Rahul Tewatia,GT,87,17,10,6,20*,21.75,57,152.63,0,0,0,3,7,,,,,,,,,,,,,
Rahul Tripathi,SRH,273,13,13,1,74*,22.75,213,128.16,1,1,0,29,10,,,,,,,,,,,,,
Rajvardhan Hangargekar,CSK,,,,,,,,,,,,,,2,2,36,6,60,3,Mar-36,0,20,10,12,0,0
Rashid Khan,GT,130,17,9,5,79*,32.5,60,216.66,2,1,0,8,13,17,17,402,67,552,27,30-Apr,0,20.44,8.23,14.88,1,0
Ravi Bishnoi,LSG,20,15,7,4,5,6.66,27,74.07,0,0,0,1,0,15,14,303,50.3,391,16,28-Mar,0,24.43,7.74,18.93,0,0
Ravichandran Ashwin,RR,67,13,10,4,30,11.16,51,131.37,2,0,0,5,3,13,13,294,49,368,14,23-Feb,0,26.28,7.51,21,0,0
Ravindra Jadeja,CSK,190,16,12,4,25*,23.75,133,142.85,0,0,0,11,9,16,16,342,57,431,20,20-Mar,0,21.55,7.56,17.1,0,0
Reece Topley,RCB,,,,,,,,,,,,,,1,1,12,2,14,1,14-Jan,0,14,7,12,0,0
Rilee Rossouw,DC,209,9,9,2,82*,29.85,141,148.22,2,1,0,17,11,,,,,,,,,,,,,
Riley Meredith,MI,,,,,,,,,,,,,,5,5,118,19.4,207,7,Feb-33,0,29.57,10.52,16.85,0,0
Rinku Singh,KKR,474,14,14,6,67*,59.25,317,149.52,0,4,0,31,29,,,,,,,,,,,,,
Ripal Patel,DC,49,5,4,1,23,16.33,43,113.95,0,0,0,3,1,,,,,,,,,,,,,
Rishi Dhawan,PBKS,20,6,3,1,19,10,12,166.66,0,0,0,1,1,,,,,,,,,,,,,
Riyan Parag,RR,78,7,7,1,20,13,66,118.18,0,0,0,4,5,,,,,,,,,,,,,
Rohit Sharma,MI,332,16,16,0,65,20.75,250,132.8,2,2,0,35,17,,,,,,,,,,,,,
Rovman Powell,DC,7,3,3,0,4,2.33,9,77.77,0,0,0,1,0,3,1,12,2,18,1,18-Jan,0,18,9,12,0,0
Ruturaj Gaikwad,CSK,590,16,15,1,92,42.14,400,147.5,0,4,0,46,30,,,,,,,,,,,,,
Sai Sudharsan,GT,362,8,8,1,96,51.71,256,141.4,0,3,0,33,12,,,,,,,,,,,,,
Sam Curran,PBKS,276,14,13,3,55,27.6,203,135.96,0,1,0,20,13,14,14,287,47.5,489,10,31-Mar,0,48.9,10.22,28.7,0,0
Sandeep Sharma,RR,,,,,,,,,,,,,,12,12,276,46,396,10,25-Feb,0,39.6,8.6,27.6,0,0
Sanju Samson,RR,362,14,14,2,66*,30.16,236,153.38,2,3,0,25,24,,,,,,,,,,,,,
Sanvir Singh,SRH,11,2,2,1,7,11,9,122.22,0,0,0,1,1,,,,,,,,,,,,,
Sarfaraz Khan,DC,53,4,4,0,30,13.25,62,85.48,0,0,0,4,1,,,,,,,,,,,,,
Shahbaz Ahmed,RCB,42,10,6,2,20*,10.5,39,107.69,0,0,0,3,1,,,,,,,,,,,,,
Shahbaz Prabhudessai,RCB,35,5,4,0,19,8.75,29,120.68,1,0,0,1,2,,,,,,,,,,,,,
Shahrukh Khan,PBKS,156,14,13,6,41*,22.28,94,165.95,0,0,0,13,9,,,,,,,,,,,,,
Shardul Thakur,KKR,113,11,10,2,68,14.12,70,161.42,2,1,0,13,4,11,9,126,21,220,7,23-Feb,0,31.42,10.47,18,0,0
Shikhar Dhawan,PBKS,373,11,11,2,99*,41.44,261,142.91,1,3,0,49,12,,,,,,,,,,,,,
Shimron Hetmyer,RR,299,14,13,5,56*,37.37,197,151.77,0,1,0,12,23,,,,,,,,,,,,,
Shivam Dube,CSK,418,16,14,3,52,38,264,158.33,0,3,0,12,35,,,,,,,,,,,,,
Shubman Gill,GT,890,17,17,2,129,59.33,564,157.8,1,4,3,85,33,,,,,,,,,,,,,
Sikandar Raza,PBKS,139,7,7,2,57,27.8,98,141.83,0,1,0,10,6,7,6,72,12,119,3,19-Jan,0,39.66,9.91,24,0,0
Sunil Narine,KKR,21,14,10,3,7*,3,25,84,3,0,0,2,1,14,14,288,48,383,11,Mar-33,0,34.81,7.97,26.18,0,0
Suryakumar Yadav,MI,605,16,16,2,103*,43.21,334,181.13,1,5,1,65,28,,,,,,,,,,,,,
Suyash Sharma,KKR,,,,,,,,,,,,,,11,11,234,39,321,10,30-Mar,0,32.1,8.23,23.4,0,0
T Natarajan,SRH,,,,,,,,,,,,,,12,12,270,45,410,10,23-Feb,0,41,9.11,27,0,0
Tilak Varma,MI,343,11,11,3,84*,42.87,209,164.11,0,1,0,26,23,,,,,,,,,,,,,
Tim David,MI,231,16,15,6,45*,25.66,146,158.21,2,0,0,12,15,,,,,,,,,,,,,
Tim Southee,KKR,,,,,,,,,,,,,,2,2,36,6,79,2,Feb-54,0,39.5,13.16,18,0,0
Trent Boult,RR,16,10,4,3,15,16,14,114.28,0,0,0,1,1,10,10,228,38,312,13,29-Mar,3,24,8.21,17.53,0,0
Tristan Stubbs,MI,25,2,2,0,20,12.5,31,80.64,0,0,0,2,0,2,1,12,2,14,1,14-Jan,0,14,7,12,0,0
Tushar Deshpande,CSK,,,,,,,,,,,,,,16,16,341,56.5,564,21,Mar-45,0,26.85,9.92,16.23,0,0
Umesh Yadav,KKR,19,8,5,3,6*,9.5,18,105.55,0,0,0,1,0,,,,,,,,,,,,,
Umran Malik,SRH,19,8,2,1,19*,19,8,237.5,1,0,0,1,2,8,8,120,20,217,5,Feb-32,0,43.4,10.85,24,0,0
Vaibhav Arora,KKR,3,5,2,2,2*,0,2,150,0,0,0,0,0,5,5,96,16,146,5,Feb-30,0,29.2,9.12,19.2,0,0
Varun Chakravarthy,KKR,,,,,,,,,,,,,,14,14,316,52.4,429,20,15-Apr,1,21.45,8.14,15.8,1,0
Venkatesh Iyer,KKR,404,14,14,0,104,28.85,277,145.84,1,2,1,32,21,,,,,,,,,,,,,
Vijay Shankar,GT,301,14,10,2,63*,37.62,188,160.1,0,3,0,27,15,,,,,,,,,,,,,
Virat Kohli,RCB,639,14,14,2,101*,53.25,457,139.82,1,6,2,65,16,,,,,,,,,,,,,
Vishnu Vinod,MI,37,3,3,0,30,12.33,31,119.35,0,0,0,2,2,,,,,,,,,,,,,
Vivrant Sharma,SRH,69,3,1,0,69,69,47,146.8,0,1,0,9,2,,,,,,,,,,,,,
Vyshak Vijaykumar,RCB,13,7,2,1,13*,13,9,144.44,1,0,0,0,1,7,7,144,24,253,9,20-Mar,0,28.11,10.54,16,0,0
Wanindu Hasaranga,RCB,33,8,5,3,12*,16.5,28,117.85,0,0,0,3,0,8,8,174,29,258,9,24-Feb,0,28.66,8.89,19.33,0,0
Washington Sundar,SRH,60,7,5,1,24*,15,60,100,0,0,0,6,0,7,7,106,17.4,146,3,28-Mar,0,48.66,8.26,35.33,0,0
Wayne Parnell,RCB,,,,,,,,,,,,,,7,7,151,25.1,236,9,10-Mar,0,26.22,9.37,16.77,0,0
Wriddhiman Saha,GT,371,17,17,1,81,23.18,287,129.26,2,2,0,47,8,,,,,,,,,,,,,
Yash Dayal,GT,,,,,,,,,,,,,,5,5,84,14,165,2,31-Jan,0,82.5,11.78,42,0,0
Yash Dhull,DC,16,4,3,0,13,5.33,23,69.56,0,0,0,1,0,,,,,,,,,,,,,
Yash Thakur,LSG,,,,,,,,,,,,,,9,9,191,31.5,289,13,Apr-37,0,22.23,9.07,14.69,1,0
Yashasvi Jaiswal,RR,625,14,14,1,124,48.07,382,163.61,1,5,1,82,26,,,,,,,,,,,,,
Yudhvir Singh,LSG,,,,,,,,,,,,,,3,3,48,8,70,3,19-Feb,0,23.33,8.75,16,0,0
Yuzvendra Chahal,RR,,,,,,,,,,,,,,14,14,317,52.5,432,21,17-Apr,0,20.57,8.17,15.09,3,0
